;company;industry;symbol;category;market_cap;current_value;high_52week;low_52week;book_value;price_earnings;dividend_yield;roce;roe;sales_growth_3yr
335;Hathway Cable & Datacom Ltd.;MEDIA & ENTERTAINMENT;HATHWAY;Nifty Smallcap 250;2584.0;30.0;48.5;15.15;12.24;52.96;0.0;7.56;6.0;-18.97
336;HeidelbergCement India Ltd.;CEMENT & CEMENT PRODUCTS;HEIDELBERG;Nifty Smallcap 250;3389.0;149.55;189.25;122.1;47.63;18.31;1.67;16.84;13.16;-3.0
337;Heritage Foods Ltd.;CONSUMER GOODS;HERITGFOOD;Nifty Smallcap 250;2367.0;510.1;885.1;421.0;165.33;30.05;0.39;55.11;8.89;4.18
338;Himachal Fut Com Ltd.;TELECOM;HFCL;Nifty Smallcap 250;2553.0;20.6;36.65;18.45;10.41;13.45;0.0;16.86;13.95;6.37
339;Himadri Speciality Chemical Ltd.;CHEMICALS;HSCL;Nifty Smallcap 250;5462.0;130.55;197.0;103.55;34.81;20.29;0.08;21.59;19.14;12.65
340;Himatsingka Seide Ltd.;TEXTILES;HIMATSEIDE;Nifty Smallcap 250;2310.0;234.65;444.35;212.7;123.6;11.03;1.07;13.56;17.8;19.24
341;Hindustan Construction Co. Ltd.;CONSTRUCTION;HCC;Nifty Smallcap 250;1401.0;13.8;45.0;9.39;12.09;2.71;0.0;11.53;3.12;3.43
342;Hindustan Copper Ltd.;METALS;HINDCOPPER;Nifty Smallcap 250;4746.0;51.3;110.55;45.1;16.51;45.35;0.0;7.16;5.31;18.37
343;IDFC Ltd.;FINANCIAL SERVICES;IDFC;Nifty Smallcap 250;6066.0;38.0;68.0;34.3;61.24;46.11;1.97;1.65;1.53;26.89
344;IFB Industries Ltd.;CONSUMER GOODS;IFBIND;Nifty Smallcap 250;3625.0;894.65;1542.9;850.0;147.34;48.0;0.0;22.04;15.37;19.42
345;IFCI Ltd.;FINANCIAL SERVICES;IFCI;Nifty Smallcap 250;2425.0;14.3;34.55;11.5;34.08;;0.0;0.95;-18.84;-5.95
346;IL&FS Transportation Networks Ltd.;CONSTRUCTION;IL&FSTRANS;Nifty Smallcap 250;644.76;19.6;97.35;17.8;93.52;;0.0;12.82;8.53;0.13
347;IRB Infrastructure Developers Ltd.;CONSTRUCTION;IRB;Nifty Smallcap 250;5110.0;145.4;286.0;117.5;72.95;12.73;3.44;10.52;17.51;14.02
348;ITD Cementation India Ltd.;CONSTRUCTION;ITDCEM;Nifty Smallcap 250;1960.0;114.1;234.9;108.0;58.05;16.02;0.32;23.66;15.3;11.0
349;ITI Ltd.;TELECOM;ITI;Nifty Smallcap 250;7248.0;80.8;161.8;69.4;18.15;31.12;0.0;80.47;;36.95
350;India Cements Ltd.;CEMENT & CEMENT PRODUCTS;INDIACEM;Nifty Smallcap 250;2939.0;94.9;205.9;80.05;167.94;30.87;0.84;5.63;2.02;5.37
351;India Tourism Development Corporation Ltd.;SERVICES;ITDC;Nifty Smallcap 250;2583.0;301.15;595.0;270.5;39.22;;0.61;0.58;2.39;-10.04
352;Indiabulls Real Estate Ltd.;CONSTRUCTION;IBREALEST;Nifty Smallcap 250;3720.0;82.55;263.65;69.9;143.39;;0.0;3.36;-0.49;32.38
353;Indian Energy Exchange Ltd.;FINANCIAL SERVICES;IEX;Nifty Smallcap 250;4751.0;156.65;177.11;140.5;9.35;33.41;1.4;71.26;46.87;13.19
354;Indian Overseas Bank ;FINANCIAL SERVICES;IOB;Nifty Smallcap 250;7141.0;14.6;27.0;11.05;22.84;;0.0;1.6;-55.4;-9.21
355;Indo Count Industries Ltd.;TEXTILES;ICIL;Nifty Smallcap 250;1323.0;67.0;138.7;53.0;44.75;11.63;1.19;19.58;14.88;1.9
356;Indoco Remedies Ltd.;PHARMA;INDOCO;Nifty Smallcap 250;1749.0;189.75;317.0;150.25;73.31;34.35;0.53;7.45;6.03;6.74
357;Infibeam Avenues Ltd.;IT;INFIBEAM;Nifty Smallcap 250;2504.0;37.75;242.8;27.65;38.78;;0.22;2.48;0.79;119.0
358;Inox Leisure Ltd.;MEDIA & ENTERTAINMENT;INOXLEISUR;Nifty Smallcap 250;2197.0;227.75;326.0;189.65;74.59;17.75;0.0;15.52;20.35;12.23
359;Inox Wind Ltd.;INDUSTRIAL MANUFACTURING;INOXWIND;Nifty Smallcap 250;1944.0;87.6;158.4;73.0;90.55;;0.0;-3.17;-7.53;-55.94
360;Intellect Design Arena Ltd.;IT;INTELLECT;Nifty Smallcap 250;3273.0;249.3;283.2;135.0;65.51;20.63;0.0;4.21;3.44;14.01
